Id,Name,Description,Awards
1,Daniel Abebayehu,"Daniel Abebayehu | Daniel Abebayehu uses biomaterials and high-dimensional approaches to study immuno-stromal axes to determine avenues for intervention that prevent fibrosis and promote repair. The lab's specific areas of interest are in pulmonary injury and repair and modulating responses to biomaterials. The goal is to identify novel diagnostic an therapeutic approaches for pulmonary fibrosis, as well as leverage existing biomaterial platforms in order to improve outcomes for biomaterials that are used clinically. Funding for this work is primarily through the National Institutes of Health and the University of Virginia.","National Institutes of Health Mosaic Postdoctoral Scholar 2022-2023, University of Virginia National Institutes of Health NRSA NHLBI Ruth L. Kirchstein F32 Postdoctoral Fellow (2017-2019), Virginia Commonwealth University Initiative for Maximizing Student Development (IMSD) Predoctoral Fellow (2015-2017), University of Virginia Biomedical Engineering Department 2023 “Best Mentor” Teaching Award awarded by UVA BMES | 2024 “Most Inclusive Professor” Teaching Award awarded by UVA BMES | 2024 “Best Advocate for Graduate Students” Award by UVA GBMES, Keystone Symposia Keystone Fellow (2025),"
177,Avik Ghosh,"Avik Ghosh | Avik Ghosh is Professor of Electrical and Computer Engineering and Professor of Physics at the University of Virginia. He has over 100 refereed papers and book chapters and 2 upcoming books in the areas of computational nano-electronics and low power devices, specializing in materials to systems modeling (DFT2SPICE), including 2D materials, thin films for photodetectors, molecular electronics, subthermal switching, nanomagnetic materials and devices, and nanoscale heat flow. Ghosh did his PhD in physics from the Ohio State University and Postdoctoral Fellowship in Electrical Engineering at Purdue University. He is a Fellow of the Institute of Physics (IOP), senior member of the IEEE, and has received the IBM Faculty Award, the NSF CAREER Award, a best paper award from the Army Research Office, the Charles Brown New Faculty Teaching Award and the All University Teaching Award. His group's collaborative research with Columbia University on observing negative index behavior in graphene was voted by Physics World as one of the top-10 breakthroughs of 2016.","Top-10 breakthrough research of 2016, Physics World 2016, Paper in “Editor’s Suggestion”, Physical Review B 2016, Fellow of the Institute of Physics, UK 2011, IEEE Senior Member 2011, IBM Faculty Award 2011, NSF CAREER award 2008 to 2013, All University Teaching Award 2013, UVa Fund for Excellence in Science and Technology (FEST) Award 2008, UVa University Teaching Fellowship (UTF) Award 2008, Best paper award on Frontier Sensing and Monitoring at the 2006 International Symposium for Spectral Sensing Research (ISSSR), for paper entitled “Using trap-assisted tunneling for molecular sensing?”, Student poster award at Nano Research Initiative 2013, Charles L Brown New Faculty Teaching Award 2007, Ohio State University Presidential Fellowship 1998-1999,"
178,Mool Gupta,"Mool C. Gupta | Professor Gupta is currently a Langley Distinguished Professor and Founding Director of NSF Industry/University Cooperative Research Center for Lasers and Plasmas at the University of Virginia. Previously, he was Director of the Applied Research Center, Program Director for Materials Science and Engineering and a Research Professor in the Department of Electrical & Computer Engineering at Old Dominion University. He has worked at the Research Laboratories of Eastman Kodak Company for 17 years as a Senior Scientist and Group Leader. Before joining Kodak, he was Senior Scientist at the Jet Propulsion Laboratory, California Institute of Technology, Pasadena, California. He is Editor-in-Chief for CRC Handbook of Photonics first and second edition. He has over 250 research publications and 30 patents.","Kodak's Inventors' Gallery Member, National Academy of Inventors Fellow,"
179,Mathews Jacob,"Mathews Jacob | Mathews Jacob is a professor in the Department of Electrical and Computer Engineering and is heading the Computational Biomedical Imaging Group (CBIG). His research interests include image reconstruction, image analysis, and quantification in the context of magnetic resonance imaging.","Distinguished Lecturer IEEE Signal Processing Society, 2025, Eminent Researcher Virginia Innovation Partnership Corporation, 2024, Shannon Fellow University of Virginia, 2024, Fellow IEEE, 2022, Research Excellence Award University of Iowa, 2020, Research Scholar Award American Cancer Society, 2011, CAREER Award NSF, 2009,"
180,Barry Johnson,"Barry W. Johnson | Dr. Johnson has served on the faculty since 1984 and was promoted to Full Professor in 1994. He was a co-founder of Privaris, a biometrics security company, and served as Chief Executive Officer from 2002 to 2006 while on leave from the University of Virginia. He served as the SEAS Senior Associate Dean from 2006 to 2015 and was also Associate Dean for Research from 2006 to 2011. He served at the National Science Foundation (NSF) from 2015 to 2019 as Director of the Division of Industrial Innovation and Partnerships. He has published two books, eight book chapters, and more than 150 technical articles. Dr. Johnson was named a Fellow of IEEE for his ""contributions to fault-tolerant computing"". He has also been elected to the National Academy of Inventors for ""important innovations in computer system safety and security"" based on the more than 40 issued patents on which he is an inventor.","Alumni Board of Trustees and University of Virginia Endowment Fund Young Teacher Award 1989, Outstanding Faculty Award, State Council of Higher Education for Virginia 1990, Frederick Emmonds Terman Award 1991, C. Holmes MacDonald Outstanding Young Electrical Engineering Professor Award 1992, Alan Berman Research Publications Award 1992, IEEE Fellow 1996, David A. Harrison Outstanding Faculty Award 1996, Outstanding Faculty Award, University of Virginia Engineering Foundation 2011, National Academy of Inventors, Fellow 2016, Distinguished Service Award of the National Science Foundation 2019,"
181,Anthony Kerr,"Anthony R. Kerr | Anthony Kerr received his Ph.D. degree from the University of Melbourne, Australia, in 1969. He then joined the Commonwealth Scientific and Industrial Research Organization, Sydney, Australia, to develop cryogenic parametric amplifiers for radio astronomy. From 1971 to 1974, he worked at the National Radio Astronomy Observatory, Charlottesville, VA, developing the first cryogenically cooled Schottky-diode mixer receiver for millimeter wavelength radio astronomy. Between 1974 and 1984, at the NASA/Goddard Institute for Space Studies, New York, he worked on the theory and design of Schottky, Josephson, and SIS mixers for millimeter-wave receivers. In 1984, he returned to the National Radio Astronomy Observatory, where he is responsible for development of low-noise millimeter- and submillimeter-wave receiver technology. He was co-recipient of the 1978 IEEE Microwave Prize, and in 1983 received the NASA Exceptional Engineering Achievement Medal. He is a Life Fellow of the IEEE.",
182,Kyusang Lee,"Kyusang Lee | Kyusang Lee is currently an Associate Professor of Electrical and Computer Engineering and Materials Science and Engineering departments at University of Virginia. He received his B.S. degree from Korea University in 2005, M.S. degree from Johns Hopkins University in 2009, and Ph.D. degree from University of Michigan in 2014, all in Electrical Engineering. He was a postdoctoral fellow in the Department of Electrical Engineering and Computer Science at the University of Michigan, and a postdoctoral associate in the Department of Mechanical Engineering at Massachusetts Institute of Technology (MIT). His research interests highlight the use of organic and inorganic materials in optoelectronic devices, with a particular emphasis on applications for solar energy conversion and imaging. He is the recipient of the best student presentation award at the IEEE 38th Photovoltaic Specialist Conference and the UMEI postdoctoral fellowship.","NSF Faculty Early Career Development (CAREER) award 2020, AFOSR Young Investigator Program (YIP) award 2023,"
183,Arthur Lichtenberger,"Arthur W. Lichtenberger | Dr. Arthur Lichtenberger is a Research Professor at the University of Virginia in Electrical and Computer Engineering and the Director of the UVA, School of Engineering Innovations in Fabrication (IFAB) cleanroom and Nanoscale Materials Characterization Facility (NMCF) . He received a BA from Amherst College in 1980 and M.S. and Ph.D. degrees from UVA in 1985 and 1987 respectively. He has built an internationally recognized research program in superconducting materials, devices, circuits and packaging for ultra-sensitive single pixel and array THz detectors, having collaborated with astronomical groups for the past 25 years to develop state of the art millimeter and submm wavelength mixers for use on radio telescopes throughout the world. His group’s research, in collaboration with professors Barker and Weikle, also includes the investigation of materials and microfabrication technologies for new terahertz devices, circuits and metrology. He is particularly active in the Applied Superconductivity Conference (ASC) and Education Foundation (ASEF).  To date, he has been PI or Co-PI on over 75 million dollars of funding to UVA and an author on over 225 papers. He is a founding member, and the president and COO of Dominion MicroProbes Inc. He most recently (2024) received a $9M grant to  investigate materials and SIS junctions for superconducting digital logic circuits.","Co-Winner of the UVA Edlich-Henderson Innovator of the Year Award (with Barker, Weikle and Hossack) 2016, Electrical and Computer Engineering Faculty Leadership Award 2017 and 2024, THz Science and Tech. Best Paper Award of the IEEE Microwave Theory and Techniques Society (MTT-S) 2020 (with Kooi and others), ,"
184,Zongli Lin,"Zongli Lin | Zongli Lin's current research interests include nonlinear control, robust control, and control applications. He was an Associate Editor of the IEEE Transactions on Automatic Control (2001-2003), IEEE/ASME Transactions on Mechatronics (2006-2009) and IEEE Control Systems Magazine (2005-2012). He was an elected member of the Board of Governors of the IEEE Control Systems Society (2008-2010, 2019-2021) and chaired the IEEE Control Systems Society Technical Committee on Nonlinear Systems and Control (2013-2015). He has served on the operating committees of several conferences and is the general chair of the 2028 American Control Conference, San Francisco, CA. He currently serves on the editorial boards, including Automatica and Systems & Control Letters, and is the series editor of the Springer/Birkhauser book series Control Engineering. He is a Fellow of the IEEE, a Fellow of the IFAC, and a Fellow of AAAS, the American Association for the Advancement of Science.",
185,Omid Noroozian,"Omid Noroozian | Dr. Noroozian is a civil servant electro-optical detectors systems engineer in the Detector Systems branch (code 553) at NASA Goddard Space Flight Center in Maryland. His research is centered around developing low-noise electro-optical instrumentation and detector technologies for astrophysics and remote sensing applications such as observations from space or balloon-based platforms. Technologies include ultrasensitive superconducting detectors and receivers (Kinetic Inductance Detectors, Transition-Edge Sensors, Bolometers, x-ray/gamma-ray calorimeters), low-temperature electronic readout and multiplexing circuits for scaling detector arrays, on-chip photonic spectrometers for mid-IR/far-IR/sub-mm integral field spectroscopy, heterodyne receivers, quantum-limited wide-band amplifiers.",
186,Ken Ono,"Ken Ono | Ken Ono is the STEM Advisor to the Provost and the Marvin Rosenblum Professor of Mathematics. He is a Fellow of the Shannon Center for Advanced Studies, a Professor by Courtesy in the School of Engineering and Applied Science and the School of Data Science, and a Professor by Courtesy in Statistics. He studies mathematics, specializing in Algebra, Arithmetic Geometry, Combinatorics and Number Theory. He is actively involved in mentoring mathematicians of all ages. At the undergraduate level, he has been organizing research programs for undergraduate students for 25 years. He has advised 34 PhD students and 17 postdocs. Outside the traditional university setting, he is the Founder and Director of the Spirit of Ramanujan Global STEM Talent Search, which supports emerging engineers, mathematicians, and scientists who lack traditional institutional support through financial grants and mentorship opportunities.",
187,Daniel Quinn,"Daniel Quinn | Associate Professor Quinn first came to the University of Virginia as an undergraduate student in 2006. After graduating with a BS in Aerospace Engineering, he attended Princeton University and completed a PhD in the Hydrodynamics Lab working on bio-inspired propulsion with Professor Lex Smits. While at Princeton, Quinn was also a Visiting Fellow at the Museum of Comparative Zoology at Harvard University. For his doctoral work, Professor Quinn was awarded the American Physical Society’s Andreas Acrivos Dissertation Award in Fluid Dynamics. He went on to become a Postdoctoral Fellow in the Bio-Inspired Research and Design group at Stanford University, studying the stability characteristics of birds flying in turbulent gusts. Professor Quinn joined the UVA faculty in 2017. He is a member of the Link Lab, a group of researchers studying Cyber-Physical Systems---particularly autonomous vehicles, body sensor networks, and smart homes.","Thomas E. Hutchinson Award 2023, Pi Tau Sigma Outstanding Faculty Award 2021, 2022, 2023, NSF Career Award 2020, American Physical Society’s Andreas Acrivos Dissertation Award in Fluid Dynamics 2016,"
188,Michael Reed,"Michael Reed | Michael Reed is currently on leave from UVA, serving as Associate Vice President of Westlake University in Hangzhou, China. He has held appointments at Hewlett-Packard Laboratories, Carnegie-Mellon University, University of Twente, ETH Zürich, and the Albert Ludwigs Universität, Freiburg. Professor Reed’s research interests center around micro- and nanofabrication technologies, and microsystems applications. He was the Technical Chairman of the 1995 IEEE International Workshop on MEMS, and the General Chairman of the 1996 Workshop. He was a founder of Setagon, Inc., a biomedical device startup company developing microfabricated drug and gene delivery systems which was acquired by Medtronic in 2007. He holds 17 issued patents related to microsystems technology and microfabricated medical devices. He is the author of the textbook Applied Introductory Circuit Analysis for Electrical and Computer Engineers and approximately 130 research publications. Professor Reed received the Hertz Foundation Prize and a Presidential Young Investigator Award, and is a National Distinguished Expert of the Chinese Thousand Talent Plan, and a Fellow of the Institute of Physics.",
189,Cong Shen,"Cong Shen | Cong Shen received his B.E. and M.E. degrees from the Department of Electronic Engineering, Tsinghua University, China. He received the Ph.D. degree from the Electrical Engineering Department, University of California Los Angeles (UCLA). He is an Associate Professor of the Electrical and Computer Engineering Department at University of Virginia (UVa). Prior to joining UVa, He was a professor in the School of Information Science and Technology at University of Science and Technology of China (USTC). He also has extensive industry experience, having worked for Qualcomm Research, SpiderCloud Wireless, Silvus Technologies, and Xsense.ai, in various full time and consulting roles. His general research interests are in the area of machine learning, signal processing, communication systems, and networking. In particular, his current research focuses on generative models, in-context learning, reinforcement learning, federated learning, and their engineering applications.","NSF CAREER Award 2022, Best Paper Award, IEEE International Conference on Communications (ICC) ICC 2021, Best Paper of Science Robotics 2024, Finalist for the Best Student Paper Award, Asilomar 2024 Asilomar 2024,"
190,Nikhil Shukla,"Nikhil Shukla | Nikhil Shukla is an Associate Professor at the University of Virginia with a joint appointment in the ECE and the Materials Science and Engineering department. He completed his BS in Electronics and Telecommunications from the University of Mumbai, India, in 2010, and a PhD in Electrical Engineering from the University of Notre Dame in 2017.","IEEE TMSCS Best Paper Award 2017, Best Publication Award of the STARnet LEAST Center 2015, 2016, 2017, The J.N. TATA Scholarship and the J.R.D TATA Scholarship for Graduate Study in the USA 2011,"
191,Nikolaos Sidiropoulos,"Nikolaos Sidiropoulos | Nikos Sidiropoulos received the Diploma in electrical engineering from the Aristotle University of Thessaloniki, Thessaloniki, Greece, and the M.S. and Ph.D. degrees in electrical engineering from the University of Maryland at College Park, College Park, MD, USA, in 1988, 1990, and 1992, respectively. He is the Louis T. Rader Professor in the Department of ECE, University of Virginia. He has previously served on the faculty of the University of Minnesota and the Technical University of Crete, Greece. His research interests are in signal processing, communications, optimization, tensor decomposition, and machine learning. He received the NSF/CAREER award in 1998, the IEEE Signal Processing Society (SPS) Best Paper Award in 2001, 2007, 2011, 2022, and the IEEE SPS Donald G. Fink Overview Paper Award in 2022. He received the 2010 IEEE SPS Meritorious Service Award, the 2013 Distinguished Alumni Award of the ECE Department of University of Maryland, the 2022 EURASIP Technical Achievement Award, the 2022 IEEE SPS Claude Shannon–Harry Nyquist Technical Achievement Award, and the 2023 Distinguished Research Award from the University of Virginia. He is a Fellow of IEEE (2009) and a Fellow of EURASIP (2014).","IEEE Signal Processing Society, Claude Shannon-Harry Nyquist Technical Achievement Award 2022, IEEE Signal Processing Society Donald G. Fink Overview Paper Award 2022, Students received five best student paper awards at IEEE conferences SPAWC 2012, ICASSP 2014, CAMSAP2015, DSW 2019, CAMSAP 2023, Appointed ADC Endowed Chair, University of Minnesota 2015, Fellow, European Association for Signal Processing (EURASIP), for contributions to tensor decomposition and signal processing for communications 2014, Distinguished Alumni Award, Electrical and Computer Engineering Department, University of Maryland, College Park 2013, IEEE Signal Processing Society Best Paper Award 2001, 2007, 2011, 2022, IEEE Signal Processing Society Meritorious Service Award ``for dedicated service and leadership in the field of signal processing for communications and networking'' 2010, Distinguished Lecturer of the IEEE Signal Processing Society 2008-2009, Fellow, IEEE, for contributions to Signal Processing for Communications Nov. 2008, NSF/CAREER Award 1998,"
192,Mircea Stan,"Mircea R. Stan | Mircea R. Stan is teaching and doing research in the areas of AI hardware, Processing in Memory, Cyber-Physical Systems, Computational RFID, Low Power, Spintronics, and Nanoelectronics. He leads the High-Performance Low-Power (HPLP) lab and is an associate director of the Center for Automata Processing (CAP). Prof. Stan received the Ph.D. (1996) and the M.S. (1994) degrees from UMass Amherst and the Diploma (1984) from the Politehnica University in Bucharest, Romania. Since 1996 he has been with the ECE Department at UVa, where he is now the Director of Computer Engineering and the Virginia Microelectronics Consortium (VMEC) professor. Prof. Stan was a visiting faculty at UC Berkeley in 2004-2005, at IBM in 2000, and at Intel in 2002 and 1999. He received the 2024 A. Richard Newton Technical Impact Award in Electronic Design Automation (for 1995 paper ""Bus-Invert Coding for Low Power I/O""), the 2018 Influential ISCA Paper Award (for 2003 paper ""Temperature-aware microarchitecture""), the NSF CAREER award in 1997, and was a co-author on best paper awards at ISQED24, ASILOMAR19, LASCAS19, SELSE17, ISQED08, GLSVLSI06, ISCA03 and SHAMAN02 and IEEE Micro Top Picks in 2008 and 2003. He gave keynotes at iSES23, GLSVLSI23, NILES22, DCAS18, SOCC16, CogArch16, WoNDP15, iNIS15 and CNNA14. He was the chair of the VSA-TC of IEEE CAS in 2005-2007, general chair for ISLPED06 and GLSVLSI04, TPC chair for SOCC18, ISVLSI17, NanoNets07, and ISLPED05, and on technical committees for numerous conferences. He is Editor-in-Chief for the IEEE TVLSI and was Senior Editor for the IEEE TNano 2015-2022, AE for the IEEE TNano in 2012-2014, IEEE Design & Test in 2016-2022, IEEE TCAS I in 2004-2008 and for the IEEE TVLSI in 2001-2003. He was Guest Editor for the IEEE Computer special issue on Power-Aware Computing in December 2003 and a Distinguished Lecturer for the IEEE Circuits and Systems (CAS) Society in 2020-2021, 2012-2013, and 2004-2005, and for the Solid-State Circuits Society (SSCS) in 2007-2008. Prof. Stan is a fellow of the IEEE, a member of ACM, and Eta Kappa Nu, Phi Kappa Phi and Sigma Xi. His h-index is 59 and his i10-index is 168.","Virginia Microelectronics Consortium (VMEC) Professor 2019, IEEE fellow 2014, NSF CAREER 1996,"
193,Ye Sun,"Ye (Sarah) Sun | Sun joined UVA as an associate professor in 2021. Prior to her position at UVA, Sun was an associate professor in the Department of Mechanical Engineering at Michigan Technological University. Her research is an interdisciplinary route that integrates engineering innovation with human health and human behaviors. Her primary research focus is on wearable sensors, devices and robotics. She is a recipient of the NSF CAREER Award.","NSF CAREER Award 2018, NSF BRITE Award 2022, General Chair, IEEE/ACM Conference on Connected Health: Applications, Systems and Engineering Technologies 2022, Outstanding Associate Editor Award, Elsevier Smart Health Journal 2021,"
194,Nathan Swami,"Nathan Swami | Nathan Swami is a Professor of Electrical & Computer Engineering at the University of Virginia, Charlottesville, VA. His group seeks to develop electrically functional microfluidic devices and instrumentation for label-free manipulation, sorting and cytometry of biosystems, for applications in biomolecular sensing, in vitro disease modeling and integrative tissue regeneration. Some of the chief enablers in his group include: (1) soft imprint lithography for 3D patterning of biodegradable scaffolds towards patterning cellular interactions for enabling tissue regeneration; (2) electrochemical analysis in microfluidic and droplet systems for biomolecular sensing; and (3) label-free impedance and deformability-based sorting and cytometry of biosystems. Prior to University of Virginia, he served on the scientific staff of the MEMS & Microfluidics group at Motorola Labs and prior to that, he served as a Scientist at Clinical Microsensors, Inc., a Caltech start-up interfacing microelectronics to bio-analysis. He seeks to impact emerging biomanufacturing approaches, as well as detection systems within point-of-care and resource-poor settings for personalizing medical decisions. For more details, see his full list of publications.",","
195,Gang Tao,"Gang Tao | For more than 30 years, Professor Gang Tao has worked in various areas of adaptive control theory and applications, with particular interests in adaptive control of systems with multiple inputs and multiple outputs, systems with nonsmooth nonlinearities, and systems with uncertain faults, in stability and robustness of adaptive control systems, and in passivity characterizations of control systems.",
196,Amanda Watson,"Amanda Watson | Amanda Watson’s research focuses on wearable technology for healthcare and athletic performance. Amanda Watson is an Assistant Professor in Electrical Engineering and Computer Science at the University of Virginia. She is also affiliated with the UVA Link Lab, a multi-disciplinary center for research and education in Cyber-Physical Systems (CPS). Before joining UVA, she was a Postdoctoral Fellow at the PRECISE Center at the University of Pennsylvania mentored by James Weimer and Insup Lee. Previously, she was a member of the LENS lab where she researched wearable technology with Gang Zhou. She received her Ph.D. in Computer Science from the College of William and Mary in 2020, an M.S. in Computer Science from the College of William and Mary in 2016, and a B.A. in Computer Science and Mathematics from Drury University in 2014 where she was a 4-year letterman on the varsity volleyball team.",
197,Robert Weikle,"Robert M. Weikle | Bobby Weikle is a Professor in the Charles L. Brown Department of Electrical and Computer Engineering at the University of Virginia. He also holds a courtesy appointment in the Department of Physics. He received his B.S.. degree in Electrical Engineering from Rice University in 1986 and his M.S. and Ph.D. in electrical engineering from the California Institute of Technology in 1987 and 1992, respectively.",
198,Keith Williams,"Keith Williams | I was born in Georgia, USA in 1972; moved shortly thereafter to the middle east (Jordan) and then southern Africa, including Rhodesia (Zimbabwe), Botswana, and South Africa, attending local/native schools throughout. I completed middle school education via correspondence with The Calvert School in Baltimore, Maryland. I then returned to the US for three years of high school.",
199,Xiaoxuan Yang,"Xiaoxuan Yang | Xiaoxuan Yang's research focuses on efficient and reliable processing-in-memory-based system design, biologically plausible system design, and hardware accelerators for emerging technologies and applications. Xiaoxuan Yang is an assistant professor in the Electrical and Computer Engineering at the University of Virginia. She was a postdoctoral researcher in the Robust Systems Group at Stanford University and a rising scholar research scientist in the Engineering School at the University of Virginia. She received her Ph.D. degree in Electrical and Computer Engineering from Duke University, M.S. degree in Electrical Engineering from the University of California, Los Angeles (UCLA), and B.S. degree in Electrical Engineering from Tsinghua University.",
200,Xu Yi,"Xu Yi | Dr. Yi received his B.S. in Physics from Peking University in 2012 and his Ph.D. in Applied Physics from California Institute of Technology in 2017. He joined University of Virginia in 2018. Dr. Yi’s research is focused on quantum and classical applications of integrated photonics through leveraging optical resonators and optical frequency combs. He also extends his work to many interdisciplinary areas, including quantum optics, astronomy, spectroscopy, microwave photonics and etc. Dr. Yi is the 2024-2027 SEAS Copenhaver Fellow.","NASA Group Achievement Award 2017, AFOSR YIP Award 2021, NSF CAREER Award 2023, UVA SEAS Copenhaver Fellow 2024-2027,"
201,Mona Zebarjadi,"Mona Zebarjadi | Mona Zebarjadi is a joint professor of Electrical and Computer Engineering and Materials Science and Engineering Departments at the University of Virginia, where she is leading the Energy Science and Nanotechnology Lab (ESNL). Prior to her current appointment, she was a professor of the Mechanical Engineering Department at Rutgers University. Her research interests are in electron and phonon transport modeling; materials and device design, fabrication, and characterization; with emphasis on energy conversion systems such as thermoelectric, thermionic, and thermomagnetic power generators, and heat management in high power electronics and optoelectronic devices. She received her Bachelor's and master's degree in physics from Sharif University and her Ph.D. in EE from UCSC in 2009, after which she spent 3 years at MIT as a postdoctoral fellow working jointly with electrical and mechanical engineering departments. She is the recipient of the 2017 NSF Career award, 2014 AFOSR career award, 2015 A.W. Tyson assistant professorship award, MRS graduate student gold medal, and SWE electronics for imaging scholarship.","A. Walter Tyson Assistant Professorship Award, Graduate Student Gold Medal winner Materials Research Society, Society of Women Engineers, the Electronics for Imaging Scholarship, Air Force Summer Faculty Fellowship,"
202,Qiaochu Zhang,"Qiaochu Zhang | Qiaochu Zhang's research includes analog, mixed-signal, radio-frequency integrated circuits, computer-aided design algorithms, and advanced computing architectures. Dr. Zhang received the B.S. degree (Hons.) in physics from Fudan University, Shanghai, China, in 2017, and the Ph.D. degree in electrical engineering from the University of Southern California (USC), Los Angeles, CA, USA, in 2024. From 2023 to 2024, he was with NXP Semiconductors, San Jose, CA, USA, working on radio-frequency integrated circuits for wireless communications. In 2024, he joined the Charles L. Brown Department of Electrical and Computer Engineering, University of Virginia (UVA), Charlottesville, VA, USA, where he is currently an assistant professor. Dr. Zhang was a recipient of the USC Provost’s Fellowship from 2017 to 2020. From 2021 to 2022, he was a USC Ming Hsieh Institute (MHI) Ph.D. Scholar. In addition, he received the IEEE International Solid-State Circuits Conference (ISSCC) Student Travel Grant Award in 2023 and the IEEE Solid-State Circuits Society (SSCS) Predoctoral Achievement Award for 2022-2023.",
203,Xun Zhao,"Xun Zhao | Dr. Xun Zhao is an Assistant Professor at the University of Virginia (UVA). Before joining UVA, he received his Ph.D. in Bioengineering and Biomedical Engineering at UCLA. His research focuses on wearable electronics and personalized medical implants. He leverages AI-driven structure design to address critical healthcare challenges, with applications ranging from cardiovascular disease detection to skin cancer screening. He developed expertise in deep-tissue sensing bioelectronics, leading to several first-author publications in Nature Materials, Nature Electronics, and Nature Communications. His achievements have been recognized with the prestigious Stephanie L. Kwolek Prize in 2024 and the Harry M. Showman Prize. He is listed as the Top 2% Scientist in the World by Elsevier.",
204,Rosalyn Berne,"Rosalyn W. Berne | Rosalyn W. Berne, PhD is the Anne Shirley Carter Olsson Professor of Applied Ethics and Chair of the Department of Engineering and Society, School of Engineering and Applied Sciences, where she has been a faculty member since 1999 and co-directs the Online Ethics Center for Engineering and Science (OEC). She earned B.A. and M.A. degrees in Communication Studies and a PhD in Religious Studies-Bioethics, all from the University of Virginia. As a scholar, Berne explores the intersecting realms of emerging technologies, science, fiction and myth, and the links between the human and non-human worlds. Her research and writing span considerations of ethics in engineering practice, biotechnology and nanotechnology, and ethics in engineering education. Among her publications are 5 books:","Artist in Residence, Hedgebrook, Women Authoring Change, Whidbey, Island, WA, March, 2007, Fulbright Scholar Lectureship Award, Nehru Univ., India, 2007, Outstanding Teaching and Service Award, Department of Science, Technology and Society, University of Virginia, 2003, Virginia Leadership Award, National Organization of Women, Charlottesville, Virginia, 1999,"
205,Coleen Carrigan,"Coleen Carrigan | Dr. Coleen Carrigan is a Copenhaver Associate Professor in the Department of Engineering and Society at the University of Virginia. Using ethnography, her research advances knowledge on the allocation of resources, opportunities and respect in US engineering and computer science.","National Science Foundation (NSF) Faculty Early Career Development (CAREER) award: Valuing the Social in Engineering and Computer Science. EEC 1751314 2018-PRESENT, College Award, Early Career Achievement for Excellence in Scholarship 2018, American Society for Engineering Education (ASEE) Educational Research and Methods Division Best Diversity Paper Award 2017, University of Washington, Project for Interdisciplinary Pedagogy Fellowship 2014,"
206,William Davis,"William Davis | As our technological creations increasingly permeate all that surrounds us, altering our behaviors and bodies in subtle and obvious ways, we ought to ask ourselves: how should we engage with technologies, other creatures, and our environments? Over the past two decades, my academic training and teaching have provided me the chance to discuss these topics with undergraduate and graduate students in the USA and in Mexico. Before coming to UVA, I worked with students in the health sciences. Where once I taught the users of technologies (health science practitioners), now I teach the designers and implementers of these technologies.","Service Award, California Northstate University College of Health Sciences 2019-2020,"
207,Joshua Earle,"Joshua Earle | Joshua Earle (he/him) received his PhD in STS from Virginia Tech in 2021, and has taught the Engineering STS capstone course series (STS 4500 & 4600) each year since. He has also taught a course on Technology and Disability during the Summer and Fall terms of 2024.",","
208,Gerard Fitzgerald,"Gerard Fitzgerald | Dr. Gerard J. Fitzgerald’s research employs a multi-disciplinary approach informed by different subfields including environmental history, the history of technology, sensory history, the history of public health, and the history of science to investigate the evolution of modern warfare during the American Civil War, the Spanish American War, World War I, World War II, and the Cold War. His work on military-environmental history analyzes the environmental and public health consequences of industrialization and militarization, in particular the creation of biological and chemical weapons, through the historical analysis of the environmental, cultural, economic, medical, scientific, and technological forces that both define and shape American society. In addition, he is examining the evolution of military-environmental history in the context of ongoing events. While climate and environment have been important factors driving human activity and conflict since the dawn of organized warfare, the recent ongoing transformation of our planet and the acceleration of global warming because of anthropogenic factors during the Anthropocene—different from natural planetary climate evolution—poses not only a multi-dimensional national security threat, but more importantly, a threat to the future of humanity and to the Earth itself.",
209,Rider Foley,"Rider W. Foley | Dr. Rider W. Foley is an associate professor in the science, technology & society program in the Department of Engineering and Society at the University of Virginia. He is the principal investigator at University of Virginia on the ‘4C Project’ on Cultivating Cultures of Ethical STEM education with colleagues from Notre Dame, Xavier University and St. Mary’s College. He is also the co-leader of the ‘Nano and the City’ thematic research cluster for the Center for Nanotechnology in Society at Arizona State University. Rider is a Research Collaborator with the Sustainability Science Education program at the Biodesign Institute. His research focuses on wicked problems that arise at the intersection of society and technology. Rider holds a Ph.D. in Sustainability from Arizona State University, and a Master's degree in Environmental Management from Harvard University and a Bachelor’s degree in Environmental Science from University of New Hampshire. Before earning his doctorate, he has worked for a decade in consulting and emergency response for Triumvirate Environmental Inc.",
210,MC Forelle,"MC Forelle | MC Forelle is an assistant professor in Engineering & Society at the School of Engineering and Applied Science at the University of Virginia. Their work broadly examines the intersection of law, technology, and culture, with particular interests in materiality, sustainability, and practices of resistance and change. Currently, their research centers on the world of software-enhanced automotive technology, where they interrogate how these emerging systems are frustrating longstanding conventions of repair, maintanence, and modification. This includes close examinations of repair training and labor, automotive aftermarkets, and the legal regimes that protect these spaces.",
211,Pedro Pereira,"Pedro Augusto Pereira Francisco | Pedro Augusto Pereira Francisco is an Assistant Professor in the Department of Engineering and Society at the University of Virginia and holds a Ph.D. in Cultural Anthropology from the Federal University of Rio de Janeiro. His research examines the intersections of science, technology, culture, and the epistemic dimensions of knowledge production, with a focus on the governance of digital technologies, intelligence, surveillance, defense and security, and the sociotechnical shaping of institutions and markets. He has published on topics including the circulation of military technologies, artificial intelligence, digital platforms, intellectual property, and privacy.",
