ID,Name,Departments,Description
186,Omid Noroozian,ECE,"Dr. Noroozian is a civil servant electro-optical detectors systems engineer in the Detector Systems branch (code 553) at NASA Goddard Space Flight Center in Maryland. His research is centered around developing low-noise electro-optical instrumentation and detector technologies for astrophysics and remote sensing applications such as observations from space or balloon-based platforms. Technologies include ultrasensitive superconducting detectors and receivers (Kinetic Inductance Detectors, Transition-Edge Sensors, Bolometers, x-ray/gamma-ray calorimeters), low-temperature electronic readout and multiplexing circuits for scaling detector arrays, on-chip photonic spectrometers for mid-IR/far-IR/sub-mm integral field spectroscopy, heterodyne receivers, quantum-limited wide-band amplifiers."
187,Ken Ono,ECE,"Ken Ono is the STEM Advisor to the Provost and the Marvin Rosenblum Professor of Mathematics. He is a Fellow of the Shannon Center for Advanced Studies, a Professor by Courtesy in the School of Engineering and Applied Science and the School of Data Science, and a Professor by Courtesy in Statistics. He studies mathematics, specializing in Algebra, Arithmetic Geometry, Combinatorics and Number Theory. He is actively involved in mentoring mathematicians of all ages. At the undergraduate level, he has been organizing research programs for undergraduate students for 25 years. He has advised 34 PhD students and 17 postdocs. Outside the traditional university setting, he is the Founder and Director of the Spirit of Ramanujan Global STEM Talent Search, which supports emerging engineers, mathematicians, and scientists who lack traditional institutional support through financial grants and mentorship opportunities."
188,Daniel Quinn,ECE;MAE,"Associate Professor Quinn first came to the University of Virginia as an undergraduate student in 2006. After graduating with a BS in Aerospace Engineering, he attended Princeton University and completed a PhD in the Hydrodynamics Lab working on bio-inspired propulsion with Professor Lex Smits. While at Princeton, Quinn was also a Visiting Fellow at the Museum of Comparative Zoology at Harvard University. For his doctoral work, Professor Quinn was awarded the American Physical Society’s Andreas Acrivos Dissertation Award in Fluid Dynamics. He went on to become a Postdoctoral Fellow in the Bio-Inspired Research and Design group at Stanford University, studying the stability characteristics of birds flying in turbulent gusts. Professor Quinn joined the UVA faculty in 2017. He is a member of the Link Lab, a group of researchers studying Cyber-Physical Systems---particularly autonomous vehicles, body sensor networks, and smart homes."
189,Michael Reed,ECE,"Michael Reed is currently on leave from UVA, serving as Associate Vice President of Westlake University in Hangzhou, China. He has held appointments at Hewlett-Packard Laboratories, Carnegie-Mellon University, University of Twente, ETH Zürich, and the Albert Ludwigs Universität, Freiburg. Professor Reed’s research interests center around micro- and nanofabrication technologies, and microsystems applications. He was the Technical Chairman of the 1995 IEEE International Workshop on MEMS, and the General Chairman of the 1996 Workshop. He was a founder of Setagon, Inc., a biomedical device startup company developing microfabricated drug and gene delivery systems which was acquired by Medtronic in 2007. He holds 17 issued patents related to microsystems technology and microfabricated medical devices. He is the author of the textbook Applied Introductory Circuit Analysis for Electrical and Computer Engineers and approximately 130 research publications. Professor Reed received the Hertz Foundation Prize and a Presidential Young Investigator Award, and is a National Distinguished Expert of the Chinese Thousand Talent Plan, and a Fellow of the Institute of Physics."
190,Cong Shen,ECE,"Cong Shen received his B.E. and M.E. degrees from the Department of Electronic Engineering, Tsinghua University, China. He received the Ph.D. degree from the Electrical Engineering Department, University of California Los Angeles (UCLA). He is an Associate Professor of the Electrical and Computer Engineering Department at University of Virginia (UVa). Prior to joining UVa, He was a professor in the School of Information Science and Technology at University of Science and Technology of China (USTC). He also has extensive industry experience, having worked for Qualcomm Research, SpiderCloud Wireless, Silvus Technologies, and Xsense.ai, in various full time and consulting roles. His general research interests are in the area of machine learning, signal processing, communication systems, and networking. In particular, his current research focuses on generative models, in-context learning, reinforcement learning, federated learning, and their engineering applications."
191,Nikhil Shukla,ECE,"Nikhil Shukla is an Associate Professor at the University of Virginia with a joint appointment in the ECE and the Materials Science and Engineering department. He completed his BS in Electronics and Telecommunications from the University of Mumbai, India, in 2010, and a PhD in Electrical Engineering from the University of Notre Dame in 2017."
192,Nikolaos Sidiropoulos,ECE,"Nikos Sidiropoulos received the Diploma in electrical engineering from the Aristotle University of Thessaloniki, Thessaloniki, Greece, and the M.S. and Ph.D. degrees in electrical engineering from the University of Maryland at College Park, College Park, MD, USA, in 1988, 1990, and 1992, respectively. He is the Louis T. Rader Professor in the Department of ECE, University of Virginia. He has previously served on the faculty of the University of Minnesota and the Technical University of Crete, Greece. His research interests are in signal processing, communications, optimization, tensor decomposition, and machine learning. He received the NSF/CAREER award in 1998, the IEEE Signal Processing Society (SPS) Best Paper Award in 2001, 2007, 2011, 2022, and the IEEE SPS Donald G. Fink Overview Paper Award in 2022. He received the 2010 IEEE SPS Meritorious Service Award, the 2013 Distinguished Alumni Award of the ECE Department of University of Maryland, the 2022 EURASIP Technical Achievement Award, the 2022 IEEE SPS Claude Shannon–Harry Nyquist Technical Achievement Award, and the 2023 Distinguished Research Award from the University of Virginia. He is a Fellow of IEEE (2009) and a Fellow of EURASIP (2014)."
193,Mircea Stan,ECE,"Mircea R. Stan is teaching and doing research in the areas of AI hardware, Processing in Memory, Cyber-Physical Systems, Computational RFID, Low Power, Spintronics, and Nanoelectronics. He leads the High-Performance Low-Power (HPLP) lab and is an associate director of the Center for Automata Processing (CAP). Prof. Stan received the Ph.D. (1996) and the M.S. (1994) degrees from UMass Amherst and the Diploma (1984) from the Politehnica University in Bucharest, Romania. Since 1996 he has been with the ECE Department at UVa, where he is now the Director of Computer Engineering and the Virginia Microelectronics Consortium (VMEC) professor. Prof. Stan was a visiting faculty at UC Berkeley in 2004-2005, at IBM in 2000, and at Intel in 2002 and 1999. He received the 2024 A. Richard Newton Technical Impact Award in Electronic Design Automation (for 1995 paper ""Bus-Invert Coding for Low Power I/O""), the 2018 Influential ISCA Paper Award (for 2003 paper ""Temperature-aware microarchitecture""), the NSF CAREER award in 1997, and was a co-author on best paper awards at ISQED24, ASILOMAR19, LASCAS19, SELSE17, ISQED08, GLSVLSI06, ISCA03 and SHAMAN02 and IEEE Micro Top Picks in 2008 and 2003. He gave keynotes at iSES23, GLSVLSI23, NILES22, DCAS18, SOCC16, CogArch16, WoNDP15, iNIS15 and CNNA14. He was the chair of the VSA-TC of IEEE CAS in 2005-2007, general chair for ISLPED06 and GLSVLSI04, TPC chair for SOCC18, ISVLSI17, NanoNets07, and ISLPED05, and on technical committees for numerous conferences. He is Editor-in-Chief for the IEEE TVLSI and was Senior Editor for the IEEE TNano 2015-2022, AE for the IEEE TNano in 2012-2014, IEEE Design & Test in 2016-2022, IEEE TCAS I in 2004-2008 and for the IEEE TVLSI in 2001-2003. He was Guest Editor for the IEEE Computer special issue on Power-Aware Computing in December 2003 and a Distinguished Lecturer for the IEEE Circuits and Systems (CAS) Society in 2020-2021, 2012-2013, and 2004-2005, and for the Solid-State Circuits Society (SSCS) in 2007-2008. Prof. Stan is a fellow of the IEEE, a member of ACM, and Eta Kappa Nu, Phi Kappa Phi and Sigma Xi. His h-index is 59 and his i10-index is 168."
194,Ye Sun,ECE;MAE,"Sun joined UVA as an associate professor in 2021. Prior to her position at UVA, Sun was an associate professor in the Department of Mechanical Engineering at Michigan Technological University. Her research is an interdisciplinary route that integrates engineering innovation with human health and human behaviors. Her primary research focus is on wearable sensors, devices and robotics. She is a recipient of the NSF CAREER Award."
195,Nathan Swami,ECE,"Nathan Swami is a Professor of Electrical & Computer Engineering at the University of Virginia, Charlottesville, VA. His group seeks to develop electrically functional microfluidic devices and instrumentation for label-free manipulation, sorting and cytometry of biosystems, for applications in biomolecular sensing, in vitro disease modeling and integrative tissue regeneration. Some of the chief enablers in his group include: (1) soft imprint lithography for 3D patterning of biodegradable scaffolds towards patterning cellular interactions for enabling tissue regeneration; (2) electrochemical analysis in microfluidic and droplet systems for biomolecular sensing; and (3) label-free impedance and deformability-based sorting and cytometry of biosystems. Prior to University of Virginia, he served on the scientific staff of the MEMS & Microfluidics group at Motorola Labs and prior to that, he served as a Scientist at Clinical Microsensors, Inc., a Caltech start-up interfacing microelectronics to bio-analysis. He seeks to impact emerging biomanufacturing approaches, as well as detection systems within point-of-care and resource-poor settings for personalizing medical decisions. For more details, see his full list of publications."
196,Gang Tao,ECE,"For more than 30 years, Professor Gang Tao has worked in various areas of adaptive control theory and applications, with particular interests in adaptive control of systems with multiple inputs and multiple outputs, systems with nonsmooth nonlinearities, and systems with uncertain faults, in stability and robustness of adaptive control systems, and in passivity characterizations of control systems."
197,Amanda Watson,ECE,"Amanda Watson’s research focuses on wearable technology for healthcare and athletic performance. Amanda Watson is an Assistant Professor in Electrical Engineering and Computer Science at the University of Virginia. She is also affiliated with the UVA Link Lab, a multi-disciplinary center for research and education in Cyber-Physical Systems (CPS). Before joining UVA, she was a Postdoctoral Fellow at the PRECISE Center at the University of Pennsylvania mentored by James Weimer and Insup Lee. Previously, she was a member of the LENS lab where she researched wearable technology with Gang Zhou. She received her Ph.D. in Computer Science from the College of William and Mary in 2020, an M.S. in Computer Science from the College of William and Mary in 2016, and a B.A. in Computer Science and Mathematics from Drury University in 2014 where she was a 4-year letterman on the varsity volleyball team."
198,Robert Weikle,ECE,"Bobby Weikle is a Professor in the Charles L. Brown Department of Electrical and Computer Engineering at the University of Virginia. He also holds a courtesy appointment in the Department of Physics. He received his B.S.. degree in Electrical Engineering from Rice University in 1986 and his M.S. and Ph.D. in electrical engineering from the California Institute of Technology in 1987 and 1992, respectively."
199,Keith Williams,ECE,"I was born in Georgia, USA in 1972; moved shortly thereafter to the middle east (Jordan) and then southern Africa, including Rhodesia (Zimbabwe), Botswana, and South Africa, attending local/native schools throughout. I completed middle school education via correspondence with The Calvert School in Baltimore, Maryland. I then returned to the US for three years of high school."
200,Xiaoxuan Yang,ECE,"Xiaoxuan Yang's research focuses on efficient and reliable processing-in-memory-based system design, biologically plausible system design, and hardware accelerators for emerging technologies and applications. Xiaoxuan Yang is an assistant professor in the Electrical and Computer Engineering at the University of Virginia. She was a postdoctoral researcher in the Robust Systems Group at Stanford University and a rising scholar research scientist in the Engineering School at the University of Virginia. She received her Ph.D. degree in Electrical and Computer Engineering from Duke University, M.S. degree in Electrical Engineering from the University of California, Los Angeles (UCLA), and B.S. degree in Electrical Engineering from Tsinghua University."
201,Xu Yi,ECE,"Dr. Yi received his B.S. in Physics from Peking University in 2012 and his Ph.D. in Applied Physics from California Institute of Technology in 2017. He joined University of Virginia in 2018. Dr. Yi’s research is focused on quantum and classical applications of integrated photonics through leveraging optical resonators and optical frequency combs. He also extends his work to many interdisciplinary areas, including quantum optics, astronomy, spectroscopy, microwave photonics and etc. Dr. Yi is the 2024-2027 SEAS Copenhaver Fellow."
202,Mona Zebarjadi,ECE;MSE,"Mona Zebarjadi is a joint professor of Electrical and Computer Engineering and Materials Science and Engineering Departments at the University of Virginia, where she is leading the Energy Science and Nanotechnology Lab (ESNL). Prior to her current appointment, she was a professor of the Mechanical Engineering Department at Rutgers University. Her research interests are in electron and phonon transport modeling; materials and device design, fabrication, and characterization; with emphasis on energy conversion systems such as thermoelectric, thermionic, and thermomagnetic power generators, and heat management in high power electronics and optoelectronic devices. She received her Bachelor's and master's degree in physics from Sharif University and her Ph.D. in EE from UCSC in 2009, after which she spent 3 years at MIT as a postdoctoral fellow working jointly with electrical and mechanical engineering departments. She is the recipient of the 2017 NSF Career award, 2014 AFOSR career award, 2015 A.W. Tyson assistant professorship award, MRS graduate student gold medal, and SWE electronics for imaging scholarship."
203,Qiaochu Zhang,ECE,"Qiaochu Zhang's research includes analog, mixed-signal, radio-frequency integrated circuits, computer-aided design algorithms, and advanced computing architectures. Dr. Zhang received the B.S. degree (Hons.) in physics from Fudan University, Shanghai, China, in 2017, and the Ph.D. degree in electrical engineering from the University of Southern California (USC), Los Angeles, CA, USA, in 2024. From 2023 to 2024, he was with NXP Semiconductors, San Jose, CA, USA, working on radio-frequency integrated circuits for wireless communications. In 2024, he joined the Charles L. Brown Department of Electrical and Computer Engineering, University of Virginia (UVA), Charlottesville, VA, USA, where he is currently an assistant professor. Dr. Zhang was a recipient of the USC Provost’s Fellowship from 2017 to 2020. From 2021 to 2022, he was a USC Ming Hsieh Institute (MHI) Ph.D. Scholar. In addition, he received the IEEE International Solid-State Circuits Conference (ISSCC) Student Travel Grant Award in 2023 and the IEEE Solid-State Circuits Society (SSCS) Predoctoral Achievement Award for 2022-2023."
204,Xun Zhao,ECE;MAE,"Dr. Xun Zhao is an Assistant Professor at the University of Virginia (UVA). Before joining UVA, he received his Ph.D. in Bioengineering and Biomedical Engineering at UCLA. His research focuses on wearable electronics and personalized medical implants. He leverages AI-driven structure design to address critical healthcare challenges, with applications ranging from cardiovascular disease detection to skin cancer screening. He developed expertise in deep-tissue sensing bioelectronics, leading to several first-author publications in Nature Materials, Nature Electronics, and Nature Communications. His achievements have been recognized with the prestigious Stephanie L. Kwolek Prize in 2024 and the Harry M. Showman Prize. He is listed as the Top 2% Scientist in the World by Elsevier."
205,Rosalyn Berne,STS,"Rosalyn W. Berne, PhD is the Anne Shirley Carter Olsson Professor of Applied Ethics and Chair of the Department of Engineering and Society, School of Engineering and Applied Sciences, where she has been a faculty member since 1999 and co-directs the Online Ethics Center for Engineering and Science (OEC). She earned B.A. and M.A. degrees in Communication Studies and a PhD in Religious Studies-Bioethics, all from the University of Virginia. As a scholar, Berne explores the intersecting realms of emerging technologies, science, fiction and myth, and the links between the human and non-human worlds. Her research and writing span considerations of ethics in engineering practice, biotechnology and nanotechnology, and ethics in engineering education. Among her publications are 5 books:"
206,Coleen Carrigan,STS,"Dr. Coleen Carrigan is a Copenhaver Associate Professor in the Department of Engineering and Society at the University of Virginia. Using ethnography, her research advances knowledge on the allocation of resources, opportunities and respect in US engineering and computer science."
207,William Davis,STS,"As our technological creations increasingly permeate all that surrounds us, altering our behaviors and bodies in subtle and obvious ways, we ought to ask ourselves: how should we engage with technologies, other creatures, and our environments? Over the past two decades, my academic training and teaching have provided me the chance to discuss these topics with undergraduate and graduate students in the USA and in Mexico. Before coming to UVA, I worked with students in the health sciences. Where once I taught the users of technologies (health science practitioners), now I teach the designers and implementers of these technologies."
208,Joshua Earle,STS,"Joshua Earle (he/him) received his PhD in STS from Virginia Tech in 2021, and has taught the Engineering STS capstone course series (STS 4500 & 4600) each year since. He has also taught a course on Technology and Disability during the Summer and Fall terms of 2024."
209,Gerard Fitzgerald,STS,"Dr. Gerard J. Fitzgerald’s research employs a multi-disciplinary approach informed by different subfields including environmental history, the history of technology, sensory history, the history of public health, and the history of science to investigate the evolution of modern warfare during the American Civil War, the Spanish American War, World War I, World War II, and the Cold War. His work on military-environmental history analyzes the environmental and public health consequences of industrialization and militarization, in particular the creation of biological and chemical weapons, through the historical analysis of the environmental, cultural, economic, medical, scientific, and technological forces that both define and shape American society. In addition, he is examining the evolution of military-environmental history in the context of ongoing events. While climate and environment have been important factors driving human activity and conflict since the dawn of organized warfare, the recent ongoing transformation of our planet and the acceleration of global warming because of anthropogenic factors during the Anthropocene—different from natural planetary climate evolution—poses not only a multi-dimensional national security threat, but more importantly, a threat to the future of humanity and to the Earth itself."
210,Rider Foley,STS,"Dr. Rider W. Foley is an associate professor in the science, technology & society program in the Department of Engineering and Society at the University of Virginia. He is the principal investigator at University of Virginia on the ‘4C Project’ on Cultivating Cultures of Ethical STEM education with colleagues from Notre Dame, Xavier University and St. Mary’s College. He is also the co-leader of the ‘Nano and the City’ thematic research cluster for the Center for Nanotechnology in Society at Arizona State University. Rider is a Research Collaborator with the Sustainability Science Education program at the Biodesign Institute. His research focuses on wicked problems that arise at the intersection of society and technology. Rider holds a Ph.D. in Sustainability from Arizona State University, and a Master's degree in Environmental Management from Harvard University and a Bachelor’s degree in Environmental Science from University of New Hampshire. Before earning his doctorate, he has worked for a decade in consulting and emergency response for Triumvirate Environmental Inc."
211,MC Forelle,STS,"MC Forelle is an assistant professor in Engineering & Society at the School of Engineering and Applied Science at the University of Virginia. Their work broadly examines the intersection of law, technology, and culture, with particular interests in materiality, sustainability, and practices of resistance and change. Currently, their research centers on the world of software-enhanced automotive technology, where they interrogate how these emerging systems are frustrating longstanding conventions of repair, maintanence, and modification. This includes close examinations of repair training and labor, automotive aftermarkets, and the legal regimes that protect these spaces."
212,Pedro Pereira,STS,"Pedro Augusto Pereira Francisco is an Assistant Professor in the Department of Engineering and Society at the University of Virginia and holds a Ph.D. in Cultural Anthropology from the Federal University of Rio de Janeiro. His research examines the intersections of science, technology, culture, and the epistemic dimensions of knowledge production, with a focus on the governance of digital technologies, intelligence, surveillance, defense and security, and the sociotechnical shaping of institutions and markets. He has published on topics including the circulation of military technologies, artificial intelligence, digital platforms, intellectual property, and privacy."
213,James Groves,STS,"James Groves is a leading university educator in the field of sustainable development. In the classroom he engages with students across disciplines and educates them about sustainable energy systems. His overarching goal is to help ""people and planet"" avoid the worst impacts of humanity's ever increasing hunger for ""more power""! Recent instructional efforts in this arena include Introduction to Sustainable Energy Systems and The Global Context of Clean Energy Materials. Nationally, Dr. Groves is a significant contributor to the Engineering for One Planet initiative."
214,Sergio Grillo,STS,"Sergio earned his Ph.D. from the Crawford School of Public Policy at the Australian National University (ANU), where his doctoral research focused on social movement engagement with public deliberation. His academic background also includes a B.Eng. in Mechanical Engineering from Carleton University, an M.A. in Environmental Security and Peace from the U.N.-mandated University for Peace, and a Graduate Certificate in Natural Resources Organizational Management from the University of Michigan."
215,Richard Jacques,STS,"Doc Jacques was initially on the faculty of the School of Engineering & Applied Science from 1998 – 2001; prior to retiring from the Federal government he returned to a teaching position in the School of Engineering on August 15, 2019. He officially retired from the US Department of Homeland Security on January 31, 2020."
216,Benjamin Laugelli,STS,"Ben Laugelli is an associate professor of engineering and society at the University of Virginia, School of Engineering and Applied Science. His work examines social and ethical aspects of technology and engineering practice. His research emphases include STS (science, technology & society), engineering ethics, engineering education, sustainable design values, technology and science fiction, and the LEGO® Group’s design values and practices."
217,Garrick Louis,STS;SYS,"Garrick Louis is Professor of Engineering and Society (E&S), and  Professor of Systems & Information Engineering (SIE) the University of Virginia. His research investigates Engineering for the Greater Good (EGG) with an emphasis on access to infrastructure services across different communities.  Louis uses mutual benefit approaches to broaden participation in Science, Technology, Engineering, and Math (STEM) education. Louis has a BSc. In Chemical Engineering from Howard University, MSc. in Chemical Engineering from Rensselaer Polytechnic Institute, and a PhD in Engineering and Public Policy from Carnegie Mellon University. He received the 2000 Presidential Early Career Award for Scientists and Engineers from the National Science Foundation, is a 2006-7 AAAS Energy Environment and Natural Resources Fellow, a 2014 Design and Health Faculty Fellow at the University of Virginia, and a 2015 Jefferson Science Fellow as Science Advisor to the Office of Global Food Security at the U.S. Department of State. Louis is a Fulbright Specialist in Environment & Development, co-lead of UVA’s Resilient Urban Water Systems Working Group, and Director of the Small Infrastructure and Development (SID) Center. Louis chairs the Editorial Board of the Online Ethics Center and is the treasurer of the National Sustainability Society. Louis received the 2022 John T. Casteen Leadership Award  and the 2024 Excellence in Public Service Award from the University of Virginia."
218,Kathryn Neeley,STS,"Kathryn Neeley has been on the faculty of the School of Engineering & Applied Science since 1979 and might be best described as a recovering English major who found her calling in the most unexpected of places: engineering. She began her career as a writer, editor, and producer who worked on research teams in materials science and chemical engineering and developed print and video materials to promote SEAS research programs. These experiences provided her with both a broad view and a first-hand knowledge of engineering research, design, and culture. She is inspired by the potential of technology to promote human flourishing and by an understanding of engineering as a potentially ideal combination of practicality and vision."
219,Peter Norton,STS,"Peter Norton is associate professor of history in the Department of Engineering and Society at the University of Virginia, where he teaches history of technology, social dimensions of engineering, research, and professional ethics. He is the author of Fighting Traffic: The Dawn of the Motor Age in the American City (MIT Press), and of Autonorama: The Illusory Promise of High-Tech Driving (Island Press, 2021). In 2018-19 Norton was a visiting faculty member at the Technical University of Eindhoven in the Netherlands. His article “Street Rivals: Jaywalking and the Invention of the Motor Age Street,” published in Technology and Culture, won the Abbott Payson Usher Prize of the Society for the History of Technology. He has published work in transportation history and policy, traffic safety, and autonomous vehicles. He is a member of the University of Virginia’s Center for Transportation Studies. Norton is a winner of the Hartfield-Jefferson Scholars Teaching Prize and of the Trigon Engineering Society’s Hutchinson Award “for dedication and excellence in teaching.” He is a frequent speaker on the subject of sustainable and equitable urban mobility."
220,Jesse Pappas,STS,"Jesse Pappas is Assistant Professor of Engineering and Society in the School of Engineering and Applied Science. As one of the only social psychologists in the U.S. with a full-time appointment in engineering, he works at the intersection of individual experience and sociotechnical systems. Jesse currently teaches STS 2600: Engineering Ethics and serves as co-director of UVA's Engineering Character Strength Initiative (sponsored by the Lilly Endowment) and West Point's Character Assessment Planning Initiative (sponsored by the John Templeton Foundation). He has a long record of interdisciplinarity and an affinity for longitudinal research he developed as a fellow of the Max Planck Institute for Human Development. Jesse's work has been featured in places like Social Psychology Quarterly, Journal of Personality, International Journal of Engineering Education, and the Journal of Cleaner Production. Off grounds, he is father of two, husband to one, and an inveterate dilettante. For instance, he is cofounder of The Lupulin Exchange, a peer-to-peer hops marketplace that powers the North American craft brewing industry."
221,Karina Rider,STS,"Karina researches how people think about ""good work"" in the digital age. Trained as a sociologist, they use qualitative methods -- such as ethnography, interviews, and discourse/content analysis -- to get at how people critique technology and labor, and how they try to fix it. They are currently writing a book for MIT Press that explores what happens when high-status tech workers in Silicon Valley become disillusioned with their jobs. The manuscript follows a group of engineers and computer scientists who volunteer in their spare time to build technologies for municipal governments as they try to simultaneously design technologies that increase civic participation while also working through their disappointment with the tech industry. Many workers find themselves in a bind: they want to feel passionate about their jobs in Silicon Valley, but the industry continuously disappoints them; they want to build things that will help people, but they are pressured to make their employer as much money as possible. Tech workers' frustration with their situation leads them to get involved in Tech for Good initiatives as a way to salve their discontentment. But this has consequences for the kinds of technologies Tech for Good initiatives create: often, they end up building products nobody uses, rather than helping the communities the volunteers wanted to assist in the first place. In all, the book tells a complicated story about passionate labor and the limits of Tech for Good projects."
222,Bryn Seabrook,STS,"Bryn Seabrook received her Bachelor of Arts in Humanities, Science and Environment with a minor in Vocal Performance in 2012, a Master of Science in Science and Technology Studies in 2014, and Doctor of Philosophy in Science and Technology Studies in 2016, all from Virginia Polytechnic Institute and State University. Her research interests include, bioethics, public participation in environmental policymaking, energy efficiency, climate change, negotiating the environmental - consumer nexus, and analyzing American consumer culture."
223,Kent Wayland,STS,"Dr. Kent Wayland is an Assistant Professor in the science, technology & society program in the Department of Engineering and Society at the University of Virginia. He teaches courses on science, technology, & society, writing, professional ethics, and cross-cultural engineering. He is also the Course Director for the study abroad course in Guatemala: “Public Health, Engineering, and the Environment: An Interdisciplinary Exploration of Community Development.” His research has ranged widely, from the restoration of World War II warplanes to the data collection practices of Google and Facebook to the ethics and practice of student community-engagement projects. His undergraduate (Vanderbilt University) and doctoral (UVA) degrees are both in Cultural Anthropology, but he has been immersed in the interdisciplinary field of Science & Technology Studies for over a decade. Before earning his doctorate, he was a desk officer at the U.S. Office of Government Ethics."
224,Kathryn Webb-DeStefano,STS,My teaching interrogates the ways in which engineers can cultivate an understanding of the self in relation to the technologies they shape and the future they envision.
225,Caitlin Wylie,STS,"I am a social scientist who studies how people work together to learn about nature and technology. This topic includes technicians whose names and work are missing from publications, students who contribute broad knowledge and learning opportunities to research groups, and community members whose experiential knowledge enriches environmental research and governments' open data policies. I use qualitative social research methods, including interviews and participant observation. I've researched how science and society interact at the University of Chicago, the University of Cambridge, the Max Planck Institute for the History of Science, the New Jersey Institute of Technology, and UVA."
226,Benjamin Goldschneider,ENGR,"Benjamin Goldschneider is an Assistant Professor and founding member of the First-Year Engineering Center. Through a combination of teaching, advising, curriculum development, and research, Benjamin seeks to foster students’ passions for engineering and help them navigate the tumultuous first steps of their college career. Benjamin’s previous research has placed a strong emphasis on students’ socialization and sense of belonging with the goal of identifying the individuals, organizations, and institutional structures that are most important for students’ success and connecting them. Benjamin graduated with a bachelor’s degree in industrial engineering from Purdue University in 2018 before moving on to further study at Virginia Tech. He completed his Ph.D. in Engineering Education in 2023, picking up a certificate of Higher Education Administration along the way. His doctoral thesis examined eight students’ journeys through their college lives, identifying the people that mattered most to their perception of both their degree path and their university. Benjamin is also a collaborator on the Understanding Knowledge and Student Agency and Graduate Experiences of Employability and Knowledge projects with an international team spanning the United States, United Kingdom, and South Africa. These projects have a broad focus on comparing student experiences across international borders at the undergraduate and graduate/professional levels respectively."
227,David Gutierrez,ENGR,David R. Gutierrez is an Assistant Professor of Engineering at the University of Virginia’s First Year Engineering Center.
228,Anne McAlister,ENGR,"Anne M. McAlister is an assistant professor in the First Year Engineering Center at the University of Virginia. Her research focuses on engineering identity, teamwork, and sociotechnical thinking, with the goal of broadening ideas about who engineers are and what they do in order to empower students to tackle complex issues of the world through engineering. Specifically, her work focuses on engineering and science identity and, more recently, on first year experiences with teamwork and sociotechnical thinking. Through her research, Dr. McAlister aims to better understand and challenge obstacles to success within engineering education and to strengthen sociotechnical thinking in first year engineering education."
229,Leyf Starling,ENGR,"Leyf Starling is a founding faculty member of the First Year Engineering Center, joining in July 2023. She is currently developing curriculum and teaching the Foundations of Engineering 1 and 2 courses as well as advising 1st year engineering students."
230,Esther Tian,ENGR,"Esther Tian is an associate professor of engineering. She also serves as the faculty advisor for the Engineers for Sustainable World at UVA club. Before joining the inaugural First Year Engineering Center, Esther helped establish the Engineering program at Eastern Mennonite University and led the program to attain the initial ABET accreditation."
231,Shaylin Williams,ENGR,"Shaylin Williams is invested in identifying ways to improve the engineering education experience for future generations of engineers. As a McNair Scholar at the University of Mississippi, Shaylin worked on chemical engineering projects creating thermal barriers for food packaging and studying soil remediation. Additionally, she completed an REU project in healthcare engineering at the University of Wisconsin- Madison. She earned a master’s degree in Industrial and Systems Engineering with a Management Systems Concentration in December 2022. Shaylin completed her Ph.D. in Engineering Education at Mississippi State University, using Self Determination Theory to analyze freshmen and continuing Summer Bridge students’ experiences and senior engineering students’ graduation plans. She previously worked on a longitudinal study researching how varying first-year experience structures affect students’ engineering identities and involvement in communities of practice. Shaylin now serves as an Assistant Professor for the University of Virginia’s First Year Engineering Center and is interested in learning more about what contributes to engineering students’ success, how they can get the most out of their undergraduate programs, and how programs can be better designed to cater to students’ needs."
232,Sean Agnew,MSE;MAE,"Our research is focused primarily on metals analysis, including magnesium alloy formability, intermetallic behaviors, and aluminum alloy fatigue. Our methods of analysis typically include uses of SEM, TEM, XRD, and Neutron diffraction. Also included in our army of techniques is mechanical testing."
233,Prasanna Balachandran,MSE;MAE,"My interests are in materials informatics, density functional theory, machine learning, bayesian inference, and optimal design methods applied to accelerate the search and discovery of novel 2D materials, metallic alloys, ferroic and electronic materials."
234,James Burns,MSE,"Our research focuses on the impact of environmental degradation on the mechanical properties of high-performance structural metals. We explore a wide range of material systems (e.g. steel, Al, Ti, Ni-based alloys) produced via traditional and additively manufactured processes. Our work is at the intersection of metallurgy, mechanics, and electrochemistry, which uniquely positions us to explore many real-world challenges in the infrastructure, aerospace, automotive, energy, and biomedical fields. In each of these applications we strive to understand the mechanistic factors governing environmental degradation to inform engineering solutions using a material science framework that links processing, microstructure, properties, and component performance."
235,Kory Burns,MSE,"Kory Burns is an Assistant Professor in the Department of Materials Science and Engineering. After obtaining a B.S. in Chemistry from Valdosta State University in 2017, he completed an M.S. in Materials Science and Engineering in 2020 and a Ph.D. in Materials Science and Engineering in 2022, both from the University of Florida."
236,W. Cunningham,MSE,"The Accelerated Materials Discovery Lab is focused on applying automated and high-throughput methodologies to discover and develop novel materials for extreme environments (high mechanical stresses, temperatures, and radiation fluxes). We utilize procedures derived from ‘self-driving labs’ to guide a microstructural optimization loop through combinatorial synthesis approaches (typically thin film sputtering), microstructural modification by ion irradiation or annealing, and high-throughput characterization, which includes a number of techniques such as X-ray diffraction (XRD), electron microscopy, small-scale mechanical testing, and thermal analysis (ultrafast nanocalorimetry)."
